For Account:,####9879

TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
01/06/20,Dividend,MF,AMANX,-0.047,2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
01/06/20,Dividend,MF,AMAGX,-0.306,13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
01/06/20,Dividend,MF,AMANX,-0.469,24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
01/06/20,Dividend,MF,AMANX,0,-2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
01/06/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:35588194482;
12/31/19,Dividend,MF,PYVLX,0.25,-4.55,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
12/31/19,Dividend,MF,PYVLX,0,4.55,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
12/31/19,Direct Debit,UNKNOWN, ,0,-600,0,0,ACH DEBIT  FM E*TRADE         PPD ACH TRNSFR 056073570026551
12/31/19,Transfer,UNKNOWN, ,0,-1000,0,0,ACH WITHDRAWL                 REFID:35223861482;
12/30/19,Dividend,MF,OBCHX,21.137,-260.2,0,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
12/30/19,Dividend,MF,NNLEX,3.903,-102.53,0,0,NICHOLAS LIMITED EDITION N    NICHOLAS                      
12/30/19,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:35173141482;
12/30/19,Dividend,MF,OBCHX,0,260.2,0,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
12/30/19,Dividend,MF,NNLEX,0,102.53,0,0,NICHOLAS LIMITED EDITION N    NICHOLAS                      
12/27/19,Dividend,MF,NNTWX,5.773,-159.73,0,0,NICHOLAS II N                 NICHOLAS                      
12/27/19,Dividend,MF,NNTWX,0.064,-1.76,0,0,NICHOLAS II N                 NICHOLAS                      
12/27/19,Dividend,MF,NNTWX,0.034,-0.95,0,0,NICHOLAS II N                 NICHOLAS                      
12/27/19,Dividend,MF,NNTWX,0,1.76,0,0,NICHOLAS II N                 NICHOLAS                      
12/27/19,Dividend,MF,NNTWX,0,0.95,0,0,NICHOLAS II N                 NICHOLAS                      
12/27/19,Dividend,MF,NNTWX,0,159.73,0,0,NICHOLAS II N                 NICHOLAS                      
12/27/19,Dividend,EQ,EES,0,4.43,0,0,WISDOMTREE TRUST              WISDOMTREE U S SMALLCAP FUND  
12/26/19,Interest,EQ,#2145605,0,0.01,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
12/26/19,Fee,UNKNOWN, ,0,-49.99,0,0,Early Redemption Fee - GOBFX
12/24/19,Dividend,MF,PYVLX,1.76,-32.2,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
12/24/19,Dividend,MF,PYVLX,0.149,-2.72,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
12/24/19,Dividend,MF,PYVLX,0,2.72,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
12/24/19,Dividend,MF,PYVLX,0,32.2,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
12/23/19,Sold,MF,GOBFX,-169.68,1766.37,10.41,0,BRANDYWINEGLOBAL GLOBAL OPP BOLEGG MASON                    
